# MAMBA ORIGINS - Kobe Bryant 1996-97 Rookie Card Checklist
# A Cajun Cardboard Creations Project by Bryan Denison
# Exported: August 10, 2026
#
Collected,Card Name,Brand,Type,Serial,Auto,Licensed,Odds
,Flair Showcase - Row 0 (Showstopper) #31,Flair Showcase,Insert,,No,Yes,1:300
,Flair Showcase - Row 1 (Grace) #31,Flair Showcase,Insert,,No,Yes,1:60
,Flair Showcase #31 Row 2,Flair Showcase,Base,,No,Yes,1:60
,Flair Showcase - Legacy Collection Row 0 #31,Flair Showcase,Insert/Parallel,/150,No,Yes,
,Flair Showcase - Legacy Collection Row 1 #31,Flair Showcase,Insert/Parallel,/150,No,Yes,
,Flair Showcase - Legacy Collection Row 2 #31,Flair Showcase,Parallel,/150,No,Yes,
,Fleer - Lucky 13 #13 Redemption,Fleer,Insert,,No,Yes,1:390
,Fleer - Rookie Sensations #3,Fleer,Insert,,No,Yes,"1:1,350 Ser.2"
,Fleer #203,Fleer,Base,,No,Yes,
,Fleer European #233,Fleer,Base,,No,Yes,
,Fleer Sprite #17 (7-11 Stores),Fleer,Base,,No,Yes,
,Hoops - Grant's All-Rookies #3,Hoops,Insert,,No,Yes,"1:3,960 Ser.2"
,Hoops - Rookies #3,Hoops,Insert,,No,Yes,1:180 Ser.2
,Hoops #281 (Ser.2),Hoops,Base,,No,Yes,
,Hoops Lakers Team Sheet SGA #NNO (Subway),Hoops,Base,,No,Yes,
,Metal - Cyber-Metal #5,Metal,Insert,,No,Yes,1:120 Ser.2
,Metal - Freshly Forged #3,Metal,Insert,,No,Yes,1:360 Ser.2
,Metal - Metal Edge #15,Metal,Insert,,No,Yes,1:540 Ser.1
,Metal - Precious Metal #181,Metal,Parallel,,No,Yes,"1:3,528 Ser.2"
,Metal #137 Fresh Foundations (Ser.1),Metal,Base,,No,Yes,
,Metal #181 (Ser.2),Metal,Base,,No,Yes,
,Score Board All Sport PPF - Gold #11,Score Board All Sport/Autographed,Parallel,,No,No,"1:1,000"
,Score Board All Sport PPF - Gold #150 (Checklist),Score Board All Sport/Autographed,Parallel,,No,No,"1:1,000"
,Score Board All Sport PPF - Gold #185,Score Board All Sport/Autographed,Parallel,,No,No,"1:1,000"
,Score Board All Sport PPF #11,Score Board All Sport/Autographed,Base,,No,No,
,Score Board All Sport PPF #150 Checklist,Score Board All Sport/Autographed,Base,,No,No,
,Score Board All Sport PPF #185,Score Board All Sport/Autographed,Base,,No,No,
,Score Board Autographed Collection - Game Breakers #GB13,Score Board All Sport/Autographed,Insert,,No,No,1:300
,Score Board Autographed Collection - Game Breakers Gold #GB13,Score Board All Sport/Autographed,Insert/Parallel,,No,No,"1:1,500"
,Score Board Autographed Collection - Gold Foil Autographs #NNO,Score Board All Sport/Autographed,Insert/Parallel,/300,Yes,No,
,Score Board Autographed Collection - Silver Foil Autographs #NNO,Score Board All Sport/Autographed,Insert/Parallel,,Yes,No,
,Score Board Autographed Collection #13,Score Board All Sport/Autographed,Base,,No,No,
,SkyBox Premium - New Editions #3,Skybox Premium,Insert,,No,Yes,1:360 Ser.2 R
,SkyBox Premium - Rookie Prevue #R-3,Skybox Premium,Insert,,No,Yes,1:972 Ser.1
,SkyBox Premium - Star Ruby #203,Skybox Premium,Parallel,,No,Yes,"1:3,552 Ser.2 H"
,SkyBox Premium - Star Ruby #55,Skybox Premium,Parallel,,No,Yes,"1:3,144 Ser.1 H"
,SkyBox Premium #203 (Ser.2),Skybox Premium,Base,,No,Yes,
,SkyBox Premium #55 (Ser.1),Skybox Premium,Base,,No,Yes,
,SkyBox Z-Force - Zebut #3,Skybox Z-Force,Insert,,No,Yes,1:480 Ser.2 H
,SkyBox Z-Force - Zebut Z-peat #3,Skybox Z-Force,Parallel,,No,Yes,"1:4,800 Ser.2 H"
,SkyBox Z-Force #142,Skybox Z-Force,Base,,No,Yes,
,"SP - Premier Prospects Box Set #134 (3.5"" x 5.0"")",SP,Base,,No,Yes,
,SP - Premium Collection #PC18,SP,Insert,,No,Yes,1:400
,SP #134,SP,Base,,No,Yes,
,Stadium Club - Member's Only Rookie Showcase #RS11,Stadium Club,Insert/Parallel,,No,Yes,
,Stadium Club - Member's Only Rookies I #R12,Stadium Club,Insert/Parallel,,No,Yes,
,Stadium Club - Member's Only Rookies II #R9,Stadium Club,Insert/Parallel,,No,Yes,
,Stadium Club - Members Only 55 #52,Stadium Club,Insert,,No,Yes,
,Stadium Club - Rookie Showcase #RS11,Stadium Club,Insert,,No,Yes,1:300 Ser.2
,Stadium Club - Rookies I #R12,Stadium Club,Insert,,No,Yes,
,Stadium Club - Rookies II #R9,Stadium Club,Insert,,No,Yes,
,Topps - Draft Pick Exchange #DP13,Topps,Insert,,No,Yes,"1:486 Ser.1 H/R, 1:324 Ser.1 J"
,Topps - NBA at 50 #138,Topps,Parallel,,No,Yes,1:330 Ser.2
,Topps - Youthquake #YQ15,Topps,Insert,,No,Yes,1:540 Ser.2 R
,Topps #138,Topps,Base,,No,Yes,
,Topps Chrome - Refractors #138R,Topps Chrome,Parallel,,No,Yes,"1:2,640"
,Topps Chrome - Youthquake #YQ15,Topps Chrome,Insert,,No,Yes,1:180
,Topps Chrome #138,Topps Chrome,Base,,No,Yes,
,Ultra - All-Rookie #3,Ultra,Insert,,No,Yes,1:60 Ser.2
,Ultra - Fresh Faces #3,Ultra,Insert,,No,Yes,1:648 Ser.1
,Ultra - Gold Medallion #G-266,Ultra,Parallel,,No,Yes,1:148 Ser.2
,Ultra - Gold Medallion #G-52,Ultra,Parallel,,No,Yes,"1:1,776 Ser.1"
,Ultra - Platinum Medallion #P-266,Ultra,Parallel,,No,Yes,"1:14,800 Ser.2"
,Ultra - Platinum Medallion #P-52,Ultra,Parallel,,No,Yes,"1:26,640 Ser.1"
,Ultra - Rising Stars #2,Ultra,Insert,,No,Yes,"1:1,800 Ser.1 H"
,Ultra #266 (Ser.2),Ultra,Base,,No,Yes,
,Ultra #52 (Ser.1),Ultra,Base,,No,Yes,
,Upper Deck - Rookie Exclusives #R10,Upper Deck,Insert,,No,Yes,1:40 Ser.2
,Upper Deck - Rookie Exclusives Uncut Sheet Singles #R10,Upper Deck,Insert,,No,Yes,
,Upper Deck #148 (Ser.1),Upper Deck,Base,,No,Yes,
,Upper Deck #58 (Ser.1),Upper Deck,Base,,No,Yes,
,Upper Deck UD3 #19,Upper Deck UD3,Base,,No,Yes,
,Upper Deck UD3 #43,Upper Deck UD3,Base,,No,Yes,
,Sports Illustrated for Kids Jumbo #59,SI for Kids,Base,,No,Yes,
,Kenner/SkyBox Starting Lineup Cards Extended Series #55,Starting Lineup,Base,,No,Yes,
